Product Name,Over_All_Rating,Price,Date,Rating,Name,Comment
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,27 Nov 2024,4,Tanusri Datta,As shown in the picture..a little loose and long for me .. quality is ok ok .. will edit review after the wash.
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,18 Aug 2024,4,Samayra Thapliyal,"Look and quality just awsm.. i loved it.








"
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,20 Nov 2024,5,Ananya Deb,"The design and fabric is very good.
The embroidery is very beautiful "
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,15 Nov 2024,3,Priyanka,Kurti fits very well. Length is perfect more like a long kurti. Fabric is decent. The white thread work is a little loud. The color isnt like the one shown in the picture. It is a little more red than maroon
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,24 Nov 2024,5,Lipika,Beautiful kurta❤️. Vibrant colour fitting is also perfect for me.
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,13 Dec 2024,5,Debasmita Bhowmik,Sooo beautiful kurti...... material is too good ...the colour is perfect as shown in picture....worth to buy it ....jst go for it.... awesome product 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,30 Sept 2024,4,Simranjit Kaur,"Beautiful kurta with beautiful embroidery
Great fit
Price is pocket friendly
I loved it
Thnku ""anoukh""    





"
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,9 Jan 2025,5,Nimesh Patel,"Really so so beautiful kurti and white thread work is match with this dark colour, so very nice kurti and i like colour and work🙂"
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,11 Dec 2024,4,Moguram Praveenkumar,"Good product, worth it to buy.. "
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,18 Feb 2025,4,Manju Panicker,The colour is not exactly same... but it's very comfortable and beautiful. Thank you!
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,30 Jan 2025,4,Tanveer Ansari,Fabric was good and the best thing is it's embroidery work
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,5 Oct 2024,5,Jhansi Bandari,Must go for it if u like chikankari. Same as shown in the image 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,15 Aug 2024,5,Asha Kumari,"Loved this
Very comfortable 😌 
Perfectly fits "
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,12 Mar 2025,4,Neelam,Nice kurti... Clean work.. n looks nice... As for fabric... It's ok... Ok...
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,5 Mar 2025,5,Ashwini Puranik,"I am Ashwini puranik, nice colour,and perfect size thanks Myntra 🥰👌👍"
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,19 Sept 2024,3,Saili,Good design.. but the colour bleeds and spoils the white embroidery.
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,3 Oct 2024,4,Dixit Rehalia,Very good material and very good style. Loved it. 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,21 Feb 2025,1,Umaira Nahid,Very beautiful look and fabric is also good
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,20 Mar 2025,4,Tulika Medhi,Comfortable to wear. Beautiful embroidery. 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,21 Sept 2024,5,Pratiksha,Looks so elegant for office wear. Let's see after washing 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,5 Oct 2024,4,Om,Good suit. The fabric is very good. Value for money product.
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,3 Oct 2024,5,Twinkle,"The colour and everything is perfect, nice one "
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,25 Jan 2025,5,Dimpy Soni,Beautiful and simple. Just go for it girls. 🥰
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,28 Dec 2024,5,Sushma Bhattacharjee,Size was awesome and cloth material is also good 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,18 Nov 2024,5,Vandana Shrivastava,"Very nice kurta.. perfect colour n embroidery

"
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,6 Oct 2024,5,Pooja Gautam,"Awesome product… nice quality love it😍

"
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,18 Jan 2025,4,B Swathi,Nice product good quality 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,4 Mar 2025,5,Sagar Gaur,"Great product, just go for it❤️"
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,18 Feb 2025,4,Saniya Azmi,The fitting and quality is really good.
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,10 Mar 2025,5,Sonia,Perfect quality and fine embroidery 🌸👍🏻
